Symbol name                                       Implemented
FSASetPosFile                                     No
FSASetPosFileAsync                                No
FSAShutdown                                       No
FSATruncateFile                                   No
FSATruncateFileAsync                              No
FSAUnmount                                        No
FSAUnmountAsync                                   No
FSAWriteFile                                      No
FSAWriteFileAsync                                 No
FSAWriteFileWithPos                               No
FSAWriteFileWithPosAsync                          No
FSAddClient                                       No
FSAddClientEx                                     No
FSAppendFile                                      No
FSAppendFileAsync                                 No
FSBindMount                                       No
FSBindMountAsync                                  No
FSBindUnmount                                     No
FSBindUnmountAsync                                No
FSCancelAllCommands                               No
FSCancelCommand                                   No
FSChangeDir                                       No
FSChangeDirAsync                                  No
FSChangeMode                                      No
FSChangeModeAsync                                 No
FSCloseDir                                        No
FSCloseDirAsync                                   No
FSCloseFile                                       No
FSCloseFileAsync                                  No
FSDelClient                                       No
FSDumpLastErrorLog                                No
FSFlushFile                                       No
FSFlushFileAsync                                  No
FSFlushMultiQuota                                 No
FSFlushMultiQuotaAsync                            No
FSFlushQuota                                      No
FSFlushQuotaAsync                                 No
FSGetAsyncResult                                  No
FSGetClientNum                                    No
FSGetCmdPriority                                  No
FSGetCurrentCmdBlock                              No
FSGetCwd                                          No
FSGetCwdAsync                                     No
FSGetDirSize                                      No
FSGetDirSizeAsync                                 No
FSGetEmulatedError                                No
FSGetEntryNum                                     No
FSGetEntryNumAsync                                No
FSGetErrorCodeForViewer                           No
FSGetFSMessage                                    No
FSGetFileBlockAddress                             No
FSGetFileBlockAddressAsync                        No
FSGetFileSystemInfo                               No
FSGetFileSystemInfoAsync                          No
FSGetFreeSpaceSize                                No
FSGetFreeSpaceSizeAsync                           No
FSGetLastError                                    No
FSGetLastErrorCodeForViewer                       No
FSGetMountSource                                  No
FSGetMountSourceAsync                             No
FSGetMountSourceNext                              No
FSGetMountSourceNextAsync                         No
FSGetPosFile                                      No
FSGetPosFileAsync                                 No
FSGetStat                                         No
FSGetStatAsync                                    No
FSGetStatFile                                     No
FSGetStatFileAsync                                No
FSGetStateChangeInfo                              No
FSGetUserData                                     No
FSGetVolumeInfo                                   No
FSGetVolumeInfoAsync                              No
FSGetVolumeState                                  No
FSInit                                            No
FSInitCmdBlock                                    No
FSIsEof                                           No
FSIsEofAsync                                      No
FSMakeDir                                         No
FSMakeDirAsync                                    No
FSMakeLink                                        No
FSMakeLinkAsync                                   No
FSMakeQuota                                       No
FSMakeQuotaAsync                                  No
FSMount                                           No
FSMountAsync                                      No
FSOpenDir                                         No
FSOpenDirAsync                                    No
FSOpenFile                                        No
FSOpenFileAsync                                   No
FSOpenFileByStat                                  No
FSOpenFileByStatAsync                             No
FSOpenFileEx                                      No
FSOpenFileExAsync                                 No
FSReadDir                                         No
FSReadDirAsync                                    No
FSReadFile                                        No
FSReadFileAsync                                   No
FSReadFileWithPos                                 No
FSReadFileWithPosAsync                            No
FSRegisterFlushQuota                              No
FSRegisterFlushQuotaAsync                         No
FSRemove                                          No
FSRemoveAsync                                     No
FSRemoveQuota                                     No
FSRemoveQuotaAsync                                No
FSRename                                          No
FSRenameAsync                                     No
FSRewindDir                                       No
FSRewindDirAsync                                  No
FSRollbackQuota                                   No
FSRollbackQuotaAsync                              No
FSSetCmdPriority                                  No
FSSetEmulatedError                                No
FSSetPosFile                                      No
FSSetPosFileAsync                                 No
FSSetStateChangeNotification                      No
FSSetUserData                                     No
FSShutdown                                        No
FSTimeToCalendarTime                              No
FSTruncateFile                                    No
FSTruncateFileAsync                               No
FSUnmount                                         No
FSUnmountAsync                                    No
FSWriteFile                                       No
FSWriteFileAsync                                  No
FSWriteFileWithPos                                No
FSWriteFileWithPosAsync                           No
HIOClose                                          No
HIOInit                                           No
HIOOpenEx                                         No
HIORead                                           No
HIOReadAsyncEx                                    No
HIOShutdown                                       No
HIOWrite                                          No
HIOWriteAsyncEx                                   No
ICBlockInvalidate                                 No
ICInvalidateRange                                 No
IMDisableAPD                                      No
IMDisableDim                                      No
IMEnableAPD                                       No
IMEnableDim                                       No
IMEndAPDVideoMode                                 No
IMGetAPDPeriod                                    No
IMGetDimEnableDRC                                 No
IMGetDimEnableTV                                  No
IMGetDimPeriod                                    No
IMGetTimeBeforeAPD                                No
IMGetTimeBeforeDimming                            No
IMIsAPDEnabled                                    No
IMIsAPDEnabledBySysSettings                       No
IMIsDimEnabled                                    No
IMSetDimEnableDRC                                 No
IMSetDimEnableTV                                  No
IMStartAPDVideoMode                               No
IM_CancelGetEventNotify                           No
IM_Close                                          No
IM_GetEventNotify                                 No
IM_GetHomeButtonParams                            No
IM_GetNvParameter                                 No
IM_GetNvParameterWithoutHandleAndItb              No
IM_GetParameter                                   No
IM_GetParameters                                  No
IM_GetRuntimeParameter                            No
IM_GetTimerRemaining                              No
IM_GetTimerRemainingSeconds                       No
IM_Open                                           No
IM_SetDeviceState                                 No
IM_SetDeviceStateEx                               No
IM_SetHomeButtonParams                            No
IM_SetNvParameter                                 No
IM_SetNvParameterWithoutHandleAndItb              No
IM_SetParameter                                   No
IM_SetRuntimeParameter                            No
IM_SetSystemPolicy                                No
IM_SetTimerElpasedSeconds                         No
IOS_Close                                         No
IOS_CloseAsync                                    No
IOS_CloseAsyncEx                                  No
IOS_Ioctl                                         No
IOS_IoctlAsync                                    No
IOS_IoctlAsyncEx                                  No
IOS_Ioctlv                                        No
IOS_IoctlvAsync                                   No
IOS_IoctlvAsyncEx                                 No
IOS_Open                                          No
IOS_OpenAsync                                     No
IOS_OpenAsyncEx                                   No
IOS_Read                                          No
IOS_ReadAsync                                     No
IOS_ReadAsyncEx                                   No
IOS_Seek                                          No
IOS_SeekAsync                                     No
IOS_SeekAsyncEx                                   No
IOS_Write                                         No
IOS_WriteAsync                                    No
IOS_WriteAsyncEx                                  No
IPCBufPoolAllocate                                No
IPCBufPoolCreate                                  No
IPCBufPoolFree                                    No
IPCBufPoolGetAttributes                           No
IPCDriverClose                                    No
IPCDriverDisplayStatistics                        No
IPCDriverInit                                     No
IPCDriverOpen                                     No
LCAlloc                                           No
LCDealloc                                         No
LCDisableDMA                                      No
LCEnableDMA                                       No
LCGetAllocatableSize                              No
LCGetDMAQueueLength                               No
LCGetMaxSize                                      No
LCGetUnallocated                                  No
LCHardwareIsAvailable                             No
LCIsDMAEnabled                                    No
LCLoadDMABlocks                                   No
LCStoreDMABlocks                                  No
LCWaitDMAQueue                                    No
MCPFlush_Finalize                                 No
MCPFlush_FlushLockedRootQuota                     No
MCPFlush_FlushRootQuota                           No
MCPFlush_GetRootQuotaPath                         No
MCPFlush_Initialize                               No
MCPFlush_LockRootQuota                            No
MCPFlush_RollbackLockedRootQuota                  No
MCPFlush_UnlockRootQuota                          No
MCP_AocCloseTitle                                 No
MCP_AocGetOpenInfo                                No
MCP_AocLockTitle                                  No
MCP_AocOpenTitle                                  No
MCP_AocTestScanned                                No
MCP_AocUnlockTitle                                No
MCP_AppTagCreate                                  No
MCP_AppTagFlush                                   No
MCP_AppTagGetEnability                            No
MCP_AppTagGetSize                                 No
MCP_AppTagReadWithPos                             No
MCP_AppTagRemove                                  No
MCP_AppTagRollback                                No
MCP_AppTagSetEnability                            No
MCP_AppTagTruncateWithPos                         No
MCP_AppTagWriteWithPos                            No
MCP_ChangeEcoSettings                             No
MCP_ChangeEcoWDSetting                            No
MCP_ChangeStandbySettings                         No
MCP_ChangeSystemMemoryEmuMode                     No
MCP_ChangeSystemMode                              No
MCP_Close                                         No
MCP_CompatCopyFile                                No
MCP_CompatExLaunch                                No
MCP_CompatExPrepareLaunch                         No
MCP_CompatGetVersion                              No
MCP_CompatHaiCreateCompanionFile                  No
MCP_CompatListOwnedTitles                         No
MCP_CompatLoadAVFile                              No
MCP_CompatWagonCreateContext                      No
MCP_CompatWagonDeleteArchiveHash                  No
MCP_CompatWagonDeleteContext                      No
MCP_CompatWagonDestinationComplete                No
MCP_CompatWagonDestinationPrepare                 No
MCP_CompatWagonSourceComplete                     No
MCP_CompatWagonSourcePrepare                      No
MCP_CopyGetRequiredSize                           No
MCP_CopyTitleAbort                                No
MCP_CopyTitleAsync                                No
MCP_CopyTitleDoneAsync                            No
MCP_CopyTitleWithoutFlushAsync                    No
MCP_CreateLinkedTitlePackage                      No
MCP_DeleteContentAsync                            No
MCP_DeleteLinkedTitlePackage                      No
MCP_DeleteTicketsAsync                            No
MCP_DeleteTitleAbort                              No
MCP_DeleteTitleAsync                              No
MCP_DeleteTitleDoneAsync                          No
MCP_DeleteTitleWithoutFlushAsync                  No
MCP_DeleteUserData                                No
MCP_DeleteUserDataWithException                   No
MCP_DemoLaunchGetRemainder                        No
MCP_DeviceList                                    No
MCP_DisablePowerOffOnCrash                        No
MCP_ExternalStorageLock                           No
MCP_ExternalStorageUnlock                         No
MCP_FindContentInfos                              No
MCP_FormatExternalStorage                         No
MCP_FullDeviceList                                No
MCP_Get4SecondOffStatus                           No
MCP_GetCompatDeviceId                             No
MCP_GetContentInfos                               No
MCP_GetDefaultEcoTitleId                          No
MCP_GetDefaultTitleId                             No
MCP_GetDeviceId                                   No
MCP_GetEcoSettings                                No
MCP_GetEcoWDSetting                               No
MCP_GetErrorCodeForViewer                         No
MCP_GetFastRelaunchEnable                         No
MCP_GetInstalledContentCount                      No
MCP_GetInstalledContentIndices                    No
MCP_GetInstalledTitleVersion                      No
MCP_GetLastRawError                               No
MCP_GetOverlayAppInfo                             No
MCP_GetOwnTitleInfo                               No
MCP_GetPatchedTitleId                             No
MCP_GetPreciseTitleSize                           No
MCP_GetSATALimiterState                           No
MCP_GetStandbySettings                            No
MCP_GetSysProdSettings                            No
MCP_GetSyslogFilterMask                           No
MCP_GetSystemCrashFlag                            No
MCP_GetSystemCrashLog                             No
MCP_GetSystemCrashLogDescription                  No
MCP_GetSystemLog                                  No
MCP_GetSystemMemoryEmuMode                        No
MCP_GetSystemMode                                 No
MCP_GetSystemVersion                              No
MCP_GetTicketItemRights                           No
MCP_GetTicketViews                                No
MCP_GetTitleId                                    No
MCP_GetTitleInfo                                  No
MCP_GetTitleInfoByDevice                          No
MCP_GetTitleInfoByTitleAndDevice                  No
MCP_GetTitleInfoByTitleAndDeviceType              No
MCP_GetTitleInfoByTitleAndIndexedDevice           No
MCP_GetTitleSATALimiterState                      No
MCP_GetTitleSize                                  No
MCP_InitializeIvs                                 No
MCP_InstallCleanupAbort                           No
MCP_InstallCleanupAsync                           No
MCP_InstallCleanupWithoutFlushAsync               No
MCP_InstallGetAocSize                             No
MCP_InstallGetAocSize2                            No
MCP_InstallGetAvailableUpdateOp                   No
MCP_InstallGetInfo                                No
MCP_InstallGetProgress                            No
MCP_InstallGetRequiredSize                        No
MCP_InstallGetSize                                No
MCP_InstallGetTargetDevice                        No
MCP_InstallSetCache                               No
MCP_InstallSetTargetDevice                        No
MCP_InstallSetTargetUsb                           No
MCP_InstallTitleAbort                             No
MCP_InstallTitleAsync                             No
MCP_InstallTitleWithPatchMountAsync               No
MCP_InstallUtilGetTitleEnability                  No
MCP_InstallUtilIsResumeAvailable                  No
MCP_LaunchCompat                                  No
MCP_ListOwnedTitles                               No
MCP_NominalTitleGetTitleId                        No
MCP_Open                                          No
MCP_PatchCheckTitleVersion                        No
MCP_PatchCheckTitleVersionByPath                  No
MCP_PatchDeleteVersionList                        No
MCP_PatchGetLatestVersion                         No
MCP_PatchGetVersion                               No
MCP_PatchGetVersionListVersion                    No
MCP_PatchSetLatestVersion                         No
MCP_PatchSetRequiredVersion                       No
MCP_PatchSetVersionListVersion                    No
MCP_PreloadTitleFolder                            No
MCP_RequestPowerOff                               No
MCP_ResetOnPanicEnable                            No
MCP_ResetOnPanicState                             No
MCP_RightCheckLaunchable                          No
MCP_SetDefaultEcoTitleId                          No
MCP_SetDefaultTitleId                             No
MCP_SetFastRelaunchEnable                         No
MCP_SetSATALimiterState                           No
MCP_SetSysProdSettings                            No
MCP_SetSyslogFilterMask                           No
MCP_TitleCount                                    No
MCP_TitleList                                     No
MCP_TitleListByAppAndDevice                       No
MCP_TitleListByAppAndDeviceType                   No
MCP_TitleListByAppType                            No
MCP_TitleListByAppTypeFlagsAndDeviceType          No
MCP_TitleListByDevice                             No
MCP_TitleListByDeviceType                         No
MCP_TitleListByUniqueId                           No
MCP_TitleListByUniqueIdAndDeviceType              No
MCP_TitleListByUniqueIdAndDeviceTypeAndAppType    No
MCP_TitleListByUniqueIdAndIndexedDeviceAndAppType No
MCP_TitleListUpdateCancel                         No
MCP_TitleListUpdateGetNext                        No
MCP_TriggerCrashLogCollection                     No
MCP_TriggerCrashLogCollectionEx                   No
MCP_UninstallTitleAsync                           No
MCP_UpdateCheckAsync                              No
MCP_UpdateCheckContext                            No
MCP_UpdateCheckResume                             No
MCP_UpdateCheckUpdaterVersion                     No
MCP_UpdateClearContextAsync                       No
MCP_UpdateContextReadUserFlag                     No
MCP_UpdateContextSetUserFlag                      No
MCP_UpdateGetPathByAppTypeAsync                   No
MCP_UpdateGetProgress                             No
MCP_UpdateGetUpdater                              No
MCP_UpdateLaunchUpdater                           No
MCP_UpdatePerformAsync                            No
MCP_UpdatePrepareUpdaterAsync                     No
MCP_UpdateSetUpdater                              No
MCP_WagonUCheckArchiveExists                      No
MCP_WagonUCreateArchive                           No
MCP_WagonUDeleteArchive                           No
MCP_WagonUEstimateArchiveSize                     No
MCP_WagonUEstimateArchiveSizeEx                   No
MCP_WagonUFormatDestination                       No
MCP_WagonUGetProgress                             No
MCP_WagonUInstallArchive                          No
MCP_WagonUSetSessionId                            No
MEMAddBlockHeapTracking                           No
MEMAdjustExpHeap                                  No
MEMAdjustFrmHeap                                  No
MEMAllocFromAllocator                             No
MEMAllocFromBlockHeapAt                           No
MEMAllocFromBlockHeapEx                           No
MEMAllocFromExpHeapEx                             Yes
MEMAllocFromFrmHeapEx                             Yes
MEMAllocFromUnitHeap                              No
MEMAppendListObject                               No
MEMCalcHeapSizeForUnitHeap                        No
MEMCheckExpHeap                                   No
MEMCheckForMBlockExpHeap                          No
MEMCheckHeap                                      No
MEMCountFreeBlockForUnitHeap                      No
MEMCreateExpHeapEx                                Yes
MEMCreateFrmHeapEx                                No
MEMCreateUnitHeapEx                               No
MEMCreateUserHeapHandle                           No
MEMDestroyBlockHeap                               No
MEMDestroyExpHeap                                 Yes
MEMDestroyFrmHeap                                 No
MEMDestroyUnitHeap                                No
MEMDumpHeap                                       No
MEMFindContainHeap                                No
MEMFindParentHeap                                 No
MEMFreeByStateToFrmHeap                           No
MEMFreeToAllocator                                No
MEMFreeToBlockHeap                                No
MEMFreeToExpHeap                                  No
MEMFreeToFrmHeap                                  Yes
MEMFreeToUnitHeap                                 No
MEMGetAllocDirForMBlockExpHeap                    No
MEMGetAllocModeForExpHeap                         No
MEMGetAllocatableSizeForBlockHeapEx               No
MEMGetAllocatableSizeForExpHeapEx                 No
MEMGetAllocatableSizeForFrmHeapEx                 Yes
MEMGetArena                                       No
MEMGetBaseHeapHandle                              Yes
MEMGetFillValForHeap                              No
MEMGetGroupIDForExpHeap                           No
MEMGetGroupIDForMBlockExpHeap                     No
MEMGetNextListObject                              No
MEMGetNthListObject                               No
MEMGetPrevListObject                              No
MEMGetSizeForMBlockExpHeap                        No
MEMGetTotalFreeSizeForBlockHeap                   No
MEMGetTotalFreeSizeForExpHeap                     No
MEMGetTrackingLeftInBlockHeap                     No
MEMInitAllocatorForBlockHeap                      No
MEMInitAllocatorForDefaultHeap                    No
MEMInitAllocatorForExpHeap                        No
MEMInitAllocatorForFrmHeap                        No
MEMInitAllocatorForUnitHeap                       No
MEMInitBlockHeap                                  No
MEMInitList                                       No
MEMInsertListObject                               No
MEMPrependListObject                              No
MEMRecordStateForFrmHeap                          No
MEMRemoveListObject                               No
MEMResizeForMBlockExpHeap                         No
MEMResizeForMBlockFrmHeap                         No
MEMSetAllocModeForExpHeap                         No
MEMSetBaseHeapHandle                              No
MEMSetFillValForHeap                              No
MEMSetGroupIDForExpHeap                           No
MEMUseMarginOfAlignmentForExpHeap                 No
MEMVisitAllocatedForExpHeap                       No
MEMiGetFreeEndForFrmHeap                          No
MEMiGetFreeStartForFrmHeap                        No
MEMiIsEmptyExpHeap                                No
MPDequeTask                                       No
MPDequeTasks                                      No
MPEnqueTask                                       No
MPGetTaskInfo                                     No
MPGetTaskQInfo                                    No
MPGetTaskUserData                                 No
MPInitTask                                        No
MPInitTaskQ                                       No
MPPrintTaskQStats                                 No
MPResetTaskQ                                      No
MPRunTask                                         No
MPRunTasksFromTaskQ                               No
MPSetTaskUserData                                 No
MPStartTaskQ                                      No
MPStopTaskQ                                       No
MPTermTask                                        No
MPTermTaskQ                                       No
MPWaitTaskQ                                       No
MPWaitTaskQWithTimeout                            No
MasterAgent_LoadNotify                            No
NSYSTEST_Do                                       No
OSAcquireSpinLock                                 No
OSAddAtomic                                       No
OSAddAtomic64                                     No
OSAllocFromSystem                                 No
OSAllocSysHealth                                  No
OSAllocVirtAddr                                   No
OSAndAtomic                                       No
OSAndAtomic64                                     No
OSBlockLogSave                                    No
OSBlockMove                                       No
OSBlockSet                                        No
OSBlockThreadsOnExit                              No
OSCalendarTimeToTicks                             No
OSCancelAlarm                                     No
OSCancelAlarms                                    No
OSCancelThread                                    No
OSCheckActiveThreads                              No
OSCheckStopwatch                                  No
OSCheckThreadStackUsage                           No
OSClearContext                                    No
OSClearStack                                      No
OSClearThreadStackUsage                           No
OSCodegenCopy                                     No
OSCoherencyBarrier                                No
OSCompareAndSwapAtomic                            No
OSCompareAndSwapAtomic64                          No
OSCompareAndSwapAtomicEx                          No
OSCompareAndSwapAtomicEx64                        No
OSConsoleWrite                                    No
OSContinueThread                                  No
OSCopyFromClipboard                               No
OSCopyToClipboard                                 No
OSCreateAlarm                                     No
OSCreateAlarmEx                                   No
OSCreateThread                                    No
OSCreateThreadType                                No
OSDeRegisterSystemModeCallback                    No
OSDetachThread                                    No
OSDisableAllThreadFPUException                    No
OSDisableContextFPUException                      No
OSDisableInterrupts                               No
OSDisableOverlayArena                             No
OSDisableOverlayArenaDev                          No
OSDisableOverlayArenaWithTimeout                  No
OSDisableOverlayArenaWithTimeoutDev               No
OSDisableThreadFPUException                       No
OSDriver_CopyFromSaveArea                         No
OSDriver_CopyToSaveArea                           No
OSDriver_Deregister                               No
OSDriver_Register                                 No
OSDumpContext                                     No
OSDumpStopwatch                                   No
OSDynLoad_Acquire                                 Yes
OSDynLoad_AcquireContainingModule                 No
OSDynLoad_AddNofifyCallback                       No
OSDynLoad_AddNotifyCallback                       No
OSDynLoad_DelNotifyCallback                       No
OSDynLoad_FindExport                              Yes
OSDynLoad_FindTag                                 No
OSDynLoad_GetAllocator                            No
OSDynLoad_GetLoaderHeapStatistics                 No
OSDynLoad_GetModuleName                           No
OSDynLoad_GetNumberOfRPLs                         No
OSDynLoad_GetRPLInfo                              No
OSDynLoad_GetTLSAllocator                         No
OSDynLoad_IsModuleLoaded                          No
OSDynLoad_Release                                 Yes
OSDynLoad_SetAllocator                            No
OSDynLoad_SetTLSAllocator                         No
OSEffectiveToPhysical                             No
OSEnableAllThreadFPUException                     No
OSEnableForegroundExit                            No
OSEnableHomeButtonMenu                            No
OSEnableInterrupts                                No
OSEnableOverlayArena                              No
OSEnableOverlayArenaDev                           No
OSEnableOverlayArenaWithTimeout                   No
OSEnableOverlayArenaWithTimeoutDev                No
OSEnableThreadFPUException                        No
OSEnforceInorderIO                                No
OSExitThread                                      No
OSFastCond_Init                                   No
OSFastCond_Signal                                 No
OSFastCond_Wait                                   No
OSFastMutex_Init                                  No
OSFastMutex_Lock                                  No
OSFastMutex_TryLock                               No
OSFastMutex_Unlock                                No
OSFatal                                           No
OSForceFullRelaunch                               No
OSFreeSysHealth                                   No
OSFreeToSystem                                    No
OSFreeVirtAddr                                    No
OSGetActiveThreadLink                             No
OSGetAlarmFromQueue                               No
OSGetAlarmUserData                                No
OSGetArgcArgv                                     No
OSGetAtomic64                                     No
OSGetAvailPhysAddrRange                           No
OSGetBootPMFlags                                  No
OSGetCallArgs                                     No
OSGetCodegenCore                                  No
OSGetCodegenMode                                  No
OSGetCodegenVirtAddrRange                         No
OSGetConsoleType                                  No
OSGetCoreCount                                    No
OSGetCoreId                                       No
OSGetCrashDetailLevel                             No
OSGetCrashDumpType                                No
OSGetCrashInfo                                    No
OSGetCurrentContext                               No
OSGetCurrentFPUContext                            No
OSGetCurrentPMState                               No
OSGetCurrentThread                                No
OSGetDataPhysAddrRange                            No
OSGetDefaultAppIOQueue                            No
OSGetDefaultThread                                No
OSGetForegroundBucket                             No
OSGetForegroundBucketFreeArea                     No
OSGetHardwareBoardRevision                        No
OSGetHardwareBoardType                            No
OSGetHardwareVersion                              No
OSGetInfo                                         No
OSGetLastError                                    No
OSGetLastPMState                                  No
OSGetMainCoreId                                   No
OSGetMapVirtAddrRange                             No
OSGetMemBound                                     No
OSGetOSID                                         No
OSGetOverlayArenaRange                            No
OSGetOverlayArenaRangeDev                         No
OSGetPFID                                         No
OSGetPerformanceNumbers                           No
OSGetProcessInfo                                  No
OSGetScreenCapturePermission                      No
OSGetScreenCapturePermissionEx                    No
OSGetSecCodeGenMode                               No
OSGetSecurityLevel                                No
OSGetSemaphoreCount                               No
OSGetSharedData                                   No
OSGetShutdownFlags                                No
OSGetShutdownReason                               No
OSGetStackPointer                                 No
OSGetSymbolName                                   No
OSGetSysHealth                                    No
OSGetSystemInfo                                   No
OSGetSystemMessageQueue                           No
OSGetSystemMode                                   No
OSGetSystemTick                                   No
OSGetSystemTime                                   No
OSGetSystemVersion                                No
OSGetThreadAffinity                               No
OSGetThreadCoreTime                               No
OSGetThreadName                                   No
OSGetThreadPriority                               No
OSGetThreadSpecific                               No
OSGetTick                                         No
OSGetTime                                         No
OSGetTimestampLevel                               No
OSGetTitleID                                      No
OSGetUPID                                         No
OSGetUserStackPointer                             No
OSHandle_AddRef                                   No
OSHandle_Alloc                                    No
OSHandle_InitTable                                No
OSHandle_Release                                  No
OSHandle_TranslateAndAddRef                       No
OSInitAlarmQueue                                  No
OSInitAlarmQueueEx                                No
OSInitCond                                        No
OSInitCondEx                                      No
OSInitContext                                     No
OSInitCoroutine                                   No
OSInitEvent                                       No
OSInitEventEx                                     No
OSInitMessageQueue                                No
OSInitMessageQueueEx                              No
OSInitMutex                                       No
OSInitMutexEx                                     No
OSInitRendezvous                                  No
OSInitSemaphore                                   No
OSInitSemaphoreEx                                 No
OSInitSpinLock                                    No
OSInitStopwatch                                   No
OSInitThreadQueue                                 No
OSInitThreadQueueEx                               No
OSIopShell_InjectCommand                          No
OSIsAddressRangeDCValid                           No
OSIsAddressValid                                  No
OSIsBlockThreadsOnExit                            No
OSIsColdBoot                                      No
OSIsCompatBoot                                    No
OSIsDebuggerInitialized                           No
OSIsDebuggerPresent                               No
OSIsECOBoot                                       No
OSIsECOMode                                       No
OSIsEnabledOverlayArena                           No
OSIsEnabledOverlayArenaDev                        No
OSIsHomeButtonMenuEnabled                         No
OSIsInterruptEnabled                              No
OSIsMainCore                                      No
OSIsNormalBoot                                    No
OSIsOffBoot                                       No
OSIsProdMode                                      No
OSIsSchedulerLocked                               No
OSIsSelfRefreshBoot                               No
OSIsStandbyBoot                                   No
OSIsThreadSuspended                               No
OSIsThreadTerminated                              No
OSJoinThread                                      No
OSLaunchTitleByPathl                              No
OSLaunchTitleByPathv                              No
OSLaunchTitlel                                    No
OSLaunchTitlev                                    No
OSLoadContext                                     No
OSLoadCoroutine                                   No
OSLoadFPUContext                                  No
OSLockMutex                                       No
OSLogArgs                                         No
OSLogBuffer                                       No
OSLogFunc                                         No
OSLogPrintf                                       No
OSLogReport                                       No
OSLogRetrieve                                     No
OSLogSaveCrashDump                                No
OSLogSetFilterPolicy                              No
OSMapMemory                                       No
OSMemoryBarrier                                   No
OSModifyRegister16                                No
OSOrAtomic                                        No
